Datetime,ssrdc,ssrd,t2m,u10,v10
2023-01-02 01:00:00,,,286.80713,0.39171505,-0.3678789
2023-01-02 01:15:00,,,286.74133,0.40100121,-0.38754034
2023-01-02 01:30:00,,,286.67554,0.41028738,-0.40720177
2023-01-02 01:45:00,,,286.60974,0.41957355,-0.4268632
2023-01-02 02:00:00,,,286.54395,0.4288597,-0.44652462
2023-01-02 02:15:00,,,286.46973,0.44587064,-0.47123003
2023-01-02 02:30:00,,,286.3955,0.46288157,-0.49593544
2023-01-02 02:45:00,,,286.3213,0.4798925,-0.52064085
2023-01-02 03:00:00,,,286.24707,0.49690342,-0.54534626
2023-01-02 03:15:00,,,286.14893,0.45524788,-0.5224521
2023-01-02 03:30:00,,,286.05078,0.41359234,-0.49955797
2023-01-02 03:45:00,,,285.95264,0.3719368,-0.47666383
2023-01-02 04:00:00,,,285.8545,0.33028126,-0.45376968
2023-01-02 04:15:00,,,285.7168,0.3120737,-0.4354849
2023-01-02 04:30:00,,,285.5791,0.29386616,-0.4172001
2023-01-02 04:45:00,,,285.4414,0.2756586,-0.3989153
2023-01-02 05:00:00,,,285.3037,0.25745106,-0.3806305
2023-01-02 05:15:00,,,285.2256,0.24277496,-0.3656237
2023-01-02 05:30:00,,,285.14746,0.22809887,-0.35061693
2023-01-02 05:45:00,,,285.06934,0.21342278,-0.33561015
2023-01-02 06:00:00,,,284.9912,0.19874668,-0.32060337
2023-01-02 06:15:00,,,284.80634,0.24453616,-0.37377143
2023-01-02 06:30:00,,,284.62146,0.29032564,-0.4269395
2023-01-02 06:45:00,,,284.43658,0.33611512,-0.48010755
2023-01-02 07:00:00,0.0,0.0,284.2517,0.3819046,-0.5332756
2023-01-02 07:15:00,17.872747,17.789885,284.89062,0.34817076,-0.5326121
2023-01-02 07:30:00,35.745495,35.57977,285.52954,0.3144369,-0.53194857
2023-01-02 07:45:00,53.61824,53.36965,286.16846,0.28070307,-0.53128505
2023-01-02 08:00:00,71.49099,71.15954,286.80737,0.24696922,-0.5306215
2023-01-02 08:15:00,122.81822,122.38709,287.8698,0.046324253,-0.4828496
2023-01-02 08:30:00,174.14546,173.61465,288.93225,-0.15432072,-0.43507767
2023-01-02 08:45:00,225.47269,224.84221,289.9947,-0.3549657,-0.38730574
2023-01-02 09:00:00,276.79993,276.06976,291.05713,-0.55561066,-0.3395338
2023-01-02 09:15:00,328.30383,327.68835,291.61194,-0.79009056,-0.2286644
2023-01-02 09:30:00,379.8077,379.30695,292.16675,-1.0245705,-0.11779499
2023-01-02 09:45:00,431.31158,430.9255,292.72156,-1.2590504,-0.006925583
2023-01-02 10:00:00,482.8155,482.5441,293.27637,-1.4935303,0.103943825
2023-01-02 10:15:00,523.86945,523.56305,293.59277,-1.621665,0.1546185
2023-01-02 10:30:00,564.92346,564.582,293.90918,-1.7497997,0.20529318
2023-01-02 10:45:00,605.9774,605.6009,294.2256,-1.8779345,0.25596786
2023-01-02 11:00:00,647.0314,646.6198,294.542,-2.0060692,0.30664253
2023-01-02 11:15:00,673.18787,672.60406,294.78528,-2.0371294,0.32384825
2023-01-02 11:30:00,699.3444,698.5883,295.02856,-2.0681896,0.34105396
2023-01-02 11:45:00,725.501,724.5726,295.27185,-2.0992498,0.35825968
2023-01-02 12:00:00,751.6575,750.5568,295.51514,-2.13031,0.3754654
2023-01-02 12:15:00,761.0719,759.65936,295.70728,-2.1357157,0.40394044
2023-01-02 12:30:00,770.4864,768.76184,295.8994,-2.1411214,0.4324155
2023-01-02 12:45:00,779.9009,777.8644,296.09155,-2.146527,0.46089053
2023-01-02 13:00:00,789.3153,786.9669,296.2837,-2.1519327,0.48936558
2023-01-02 13:15:00,780.5664,777.6816,296.3747,-2.2004986,0.5261619
2023-01-02 13:30:00,771.8175,768.39624,296.4657,-2.2490644,0.56295824
2023-01-02 13:45:00,763.0686,759.1109,296.5567,-2.2976303,0.5997546
2023-01-02 14:00:00,754.3197,749.82556,296.6477,-2.3461962,0.6365509
2023-01-02 14:15:00,728.09644,723.9347,296.6349,-2.3042116,0.62337875
2023-01-02 14:30:00,701.87317,698.04376,296.62207,-2.262227,0.6102066
2023-01-02 14:45:00,675.64996,672.15283,296.60925,-2.2202425,0.59703445
2023-01-02 15:00:00,649.4267,646.26196,296.59644,-2.178258,0.5838623
2023-01-02 15:15:00,608.1477,605.2029,296.48523,-2.115568,0.55728054
2023-01-02 15:30:00,566.8688,564.14374,296.37402,-2.052878,0.5306988
2023-01-02 15:45:00,525.5898,523.08466,296.26282,-1.9901879,0.504117
2023-01-02 16:00:00,484.31082,482.02554,296.1516,-1.9274979,0.47753525
2023-01-02 16:15:00,432.49686,430.71417,295.88354,-1.7960136,0.4367938
2023-01-02 16:30:00,380.68292,379.40277,295.61548,-1.6645293,0.39605236
2023-01-02 16:45:00,328.86896,328.09137,295.3474,-1.533045,0.35531092
2023-01-02 17:00:00,277.055,276.78,295.07935,-1.4015608,0.31456947
2023-01-02 17:15:00,225.19167,224.94,294.5772,-1.3493078,0.334172
2023-01-02 17:30:00,173.32834,173.1,294.07507,-1.2970548,0.35377455
2023-01-02 17:45:00,121.465,121.259995,293.57294,-1.2448018,0.37337708
2023-01-02 18:00:00,69.60167,69.42,293.0708,-1.1925488,0.39297962
2023-01-02 18:15:00,52.201252,52.065,292.79352,-1.0662041,0.2137165
2023-01-02 18:30:00,34.800835,34.71,292.51624,-0.9398594,0.034453392
2023-01-02 18:45:00,17.400417,17.355,292.23895,-0.8135147,-0.14480972
2023-01-02 19:00:00,0.0,0.0,291.96167,-0.68717,-0.32407284
2023-01-02 19:15:00,,,291.7201,-0.4896629,-0.35023403
2023-01-02 19:30:00,,,291.47852,-0.29215574,-0.37639523
2023-01-02 19:45:00,,,291.23694,-0.0946486,-0.40255642
2023-01-02 20:00:00,,,290.99536,0.10285854,-0.4287176
2023-01-02 20:15:00,,,290.37506,0.11383009,-0.38759017
2023-01-02 20:30:00,,,289.75476,0.124801636,-0.34646273
2023-01-02 20:45:00,,,289.13446,0.13577318,-0.30533528
2023-01-02 21:00:00,,,288.51416,0.14674473,-0.26420784
2023-01-02 21:15:00,,,288.30585,0.21630073,-0.31626272
2023-01-02 21:30:00,,,288.09753,0.28585672,-0.3683176
2023-01-02 21:45:00,,,287.88922,0.35541272,-0.4203725
2023-01-02 22:00:00,,,287.6809,0.42496872,-0.47242737
2023-01-02 22:15:00,,,287.55518,0.45254874,-0.50474405
