Datetime,ssrdc,ssrd,t2m,u10,v10
2023-01-01 07:00:00,0.0,0.0,296.24683,-1.8144064,-5.0540075
2023-01-01 07:15:00,30.477253,25.979166,296.37708,-1.9719863,-5.2467256
2023-01-01 07:30:00,60.954506,51.958332,296.50732,-2.1295662,-5.4394436
2023-01-01 07:45:00,91.43176,77.9375,296.63757,-2.287146,-5.6321616
2023-01-01 08:00:00,121.90901,103.916664,296.76782,-2.444726,-5.8248796
2023-01-01 08:15:00,176.41902,144.26039,296.89465,-2.6033113,-5.90912
2023-01-01 08:30:00,230.92902,184.60413,297.02148,-2.7618966,-5.9933605
2023-01-01 08:45:00,285.43903,224.94786,297.14832,-2.920482,-6.077601
2023-01-01 09:00:00,339.94904,265.2916,297.27515,-3.0790672,-6.1618414
2023-01-01 09:15:00,392.29645,298.91537,297.35583,-3.2086053,-6.2200375
2023-01-01 09:30:00,444.64383,332.53918,297.43652,-3.3381433,-6.278233
2023-01-01 09:45:00,496.9912,366.16296,297.5172,-3.4676814,-6.3364286
2023-01-01 10:00:00,549.3386,399.78674,297.5979,-3.5972195,-6.3946247
2023-01-01 10:15:00,590.69226,445.59082,297.68286,-3.668408,-6.3873563
2023-01-01 10:30:00,632.04584,491.3949,297.76782,-3.7395964,-6.380088
2023-01-01 10:45:00,673.3994,537.199,297.85278,-3.8107848,-6.3728194
2023-01-01 11:00:00,714.75305,583.00305,297.93774,-3.8819733,-6.365551
2023-01-01 11:15:00,739.8523,603.6715,298.00378,-3.94664,-6.3362093
2023-01-01 11:30:00,764.95154,624.33997,298.06982,-4.011307,-6.306867
2023-01-01 11:45:00,790.0508,645.0085,298.13586,-4.0759735,-6.277525
2023-01-01 12:00:00,815.15,665.67694,298.2019,-4.1406403,-6.2481833
2023-01-01 12:15:00,821.9657,662.81274,298.23212,-4.175256,-6.2303033
2023-01-01 12:30:00,828.7814,659.9486,298.26233,-4.2098713,-6.2124233
2023-01-01 12:45:00,835.5971,657.0845,298.29254,-4.244487,-6.1945434
2023-01-01 13:00:00,842.4128,654.2203,298.32275,-4.2791023,-6.1766634
2023-01-01 13:15:00,830.9121,643.2661,298.33954,-4.167119,-6.1978827
2023-01-01 13:30:00,819.4114,632.31195,298.35632,-4.055136,-6.219102
2023-01-01 13:45:00,807.91064,621.3578,298.3731,-3.9431531,-6.240321
2023-01-01 14:00:00,796.41,610.4036,298.3899,-3.83117,-6.2615404
2023-01-01 14:15:00,767.8445,591.1145,298.4146,-3.682128,-6.307132
2023-01-01 14:30:00,739.27905,571.82544,298.43933,-3.5330858,-6.352723
2023-01-01 14:45:00,710.71356,552.5363,298.46405,-3.3840437,-6.3983145
2023-01-01 15:00:00,682.1481,533.2472,298.48877,-3.2350016,-6.443906
2023-01-01 15:15:00,638.8284,507.40735,298.50696,-3.1717153,-6.428357
2023-01-01 15:30:00,595.5088,481.5675,298.52515,-3.108429,-6.412809
2023-01-01 15:45:00,552.1891,455.72763,298.54333,-3.0451427,-6.3972607
2023-01-01 16:00:00,508.86945,429.8878,298.56152,-2.9818563,-6.381712
2023-01-01 16:15:00,455.63376,387.5807,298.53656,-2.872226,-6.322593
2023-01-01 16:30:00,402.39807,345.27362,298.5116,-2.7625957,-6.2634745
2023-01-01 16:45:00,349.16235,302.96655,298.48663,-2.6529653,-6.2043557
2023-01-01 17:00:00,295.92667,260.65945,298.46167,-2.543335,-6.145237
2023-01-01 17:15:00,243.13306,214.23793,298.36493,-2.3848965,-6.058693
2023-01-01 17:30:00,190.33945,167.81639,298.2682,-2.226458,-5.9721484
2023-01-01 17:45:00,137.54584,121.39487,298.17145,-2.0680196,-5.885604
2023-01-01 18:00:00,84.75222,74.973335,298.0747,-1.9095812,-5.79906
2023-01-01 18:15:00,63.59972,56.265556,297.95636,-1.7559037,-5.7968044
2023-01-01 18:30:00,42.44722,37.557777,297.838,-1.6022263,-5.794549
2023-01-01 18:45:00,21.294722,18.85,297.71967,-1.4485488,-5.7922935
2023-01-01 19:00:00,0.14222223,0.14222223,297.60132,-1.2948713,-5.790038
2023-01-01 19:15:00,,,297.57257,-1.2734296,-5.8097196
2023-01-01 19:30:00,,,297.54382,-1.2519879,-5.829401
2023-01-01 19:45:00,,,297.51508,-1.2305462,-5.8490825
2023-01-01 20:00:00,,,297.48633,-1.2091045,-5.868764
2023-01-01 20:15:00,,,297.4359,-1.1351755,-5.777395
2023-01-01 20:30:00,,,297.3855,-1.0612464,-5.6860256
2023-01-01 20:45:00,,,297.33508,-0.9873173,-5.5946565
2023-01-01 21:00:00,,,297.28467,-0.91338825,-5.5032873
2023-01-01 21:15:00,,,297.22888,-0.7671213,-5.382106
2023-01-01 21:30:00,,,297.1731,-0.6208544,-5.2609243
2023-01-01 21:45:00,,,297.1173,-0.47458744,-5.139743
2023-01-01 22:00:00,,,297.06152,-0.3283205,-5.0185614
2023-01-01 22:15:00,,,297.0196,-0.1606245,-4.9388375
2023-01-01 22:30:00,,,296.97766,0.007071495,-4.8591137
2023-01-01 22:45:00,,,296.93573,0.1747675,-4.77939
2023-01-01 23:00:00,,,296.8938,0.3424635,-4.699666
2023-01-01 23:15:00,,,296.85156,0.38287807,-4.684467
2023-01-01 23:30:00,,,296.80933,0.42329264,-4.6692677
2023-01-01 23:45:00,,,296.7671,0.4637072,-4.6540685
2023-01-02 00:00:00,,,296.72485,0.5041218,-4.6388693
2023-01-02 00:15:00,,,296.69244,0.4274361,-4.669205
2023-01-02 00:30:00,,,296.66003,0.35075045,-4.699541
2023-01-02 00:45:00,,,296.62762,0.27406478,-4.729877
2023-01-02 01:00:00,,,296.5952,0.19737911,-4.760213
2023-01-02 01:15:00,,,296.5913,0.05352807,-4.8376136
2023-01-02 01:30:00,,,296.5874,-0.09032297,-4.9150143
2023-01-02 01:45:00,,,296.5835,-0.23417401,-4.992415
2023-01-02 02:00:00,,,296.5796,-0.37802505,-5.0698156
2023-01-02 02:15:00,,,296.5725,-0.54827,-5.1614156
2023-01-02 02:30:00,,,296.56543,-0.7185149,-5.2530155
2023-01-02 02:45:00,,,296.55835,-0.88875985,-5.3446155
2023-01-02 03:00:00,,,296.55127,-1.0590048,-5.4362154
2023-01-02 03:15:00,,,296.52173,-1.2118053,-5.485343
2023-01-02 03:30:00,,,296.4922,-1.3646059,-5.53447
2023-01-02 03:45:00,,,296.46265,-1.5174065,-5.583597
2023-01-02 04:00:00,,,296.4331,-1.670207,-5.632725
2023-01-02 04:15:00,,,296.40637,-1.7523794,-5.6323233
2023-01-02 04:30:00,,,296.37964,-1.8345518,-5.631922
2023-01-02 04:45:00,,,296.3529,-1.9167242,-5.6315203
2023-01-02 05:00:00,,,296.32617,-1.9988966,-5.631119
2023-01-02 05:15:00,,,296.30273,-2.0030136,-5.631798
2023-01-02 05:30:00,,,296.2793,-2.0071306,-5.6324773
