Datetime,ssrdc,ssrd,t2m,u10,v10
2023-01-01 07:00:00,0.0,0.0,288.85132,-0.32929897,-0.68096066
2023-01-01 07:15:00,17.328363,13.914722,289.37073,-0.32190084,-0.63301706
2023-01-01 07:30:00,34.656727,27.829445,289.89014,-0.31450272,-0.5850735
2023-01-01 07:45:00,51.985092,41.744167,290.40955,-0.3071046,-0.5371299
2023-01-01 08:00:00,69.31345,55.65889,290.92896,-0.29970646,-0.4891863
2023-01-01 08:15:00,117.50791,86.453735,291.50464,-0.32145095,-0.4119277
2023-01-01 08:30:00,165.70236,117.24857,292.08032,-0.34319544,-0.3346691
2023-01-01 08:45:00,213.89682,148.04341,292.656,-0.36493993,-0.25741053
2023-01-01 09:00:00,262.09128,178.83826,293.2317,-0.38668442,-0.18015194
2023-01-01 09:15:00,311.9031,226.6865,293.7467,-0.50090265,-0.03143859
2023-01-01 09:30:00,361.71497,274.53473,294.26172,-0.6151209,0.11727476
2023-01-01 09:45:00,411.5268,322.38293,294.77673,-0.7293391,0.2659881
2023-01-01 10:00:00,461.33862,370.23117,295.29175,-0.84355736,0.41470146
2023-01-01 10:15:00,501.95,405.17526,295.55676,-0.88496065,0.54861784
2023-01-01 10:30:00,542.5614,440.11932,295.82178,-0.92636395,0.6825342
2023-01-01 10:45:00,583.1728,475.06342,296.0868,-0.96776724,0.8164506
2023-01-01 11:00:00,623.7842,510.0075,296.3518,-1.0091705,0.950367
2023-01-01 11:15:00,649.87897,489.09375,296.47522,-1.0303192,0.9452851
2023-01-01 11:30:00,675.97375,468.18,296.59863,-1.0514679,0.9402032
2023-01-01 11:45:00,702.06854,447.26627,296.72205,-1.0726166,0.9351213
2023-01-01 12:00:00,728.1633,426.3525,296.84546,-1.0937653,0.9300394
2023-01-01 12:15:00,736.2279,431.1061,296.99127,-1.0937738,0.9754462
2023-01-01 12:30:00,744.2925,435.85974,297.1371,-1.0937824,1.020853
2023-01-01 12:45:00,752.3571,440.61334,297.2829,-1.093791,1.0662599
2023-01-01 13:00:00,760.4217,445.36694,297.4287,-1.0937996,1.1116667
2023-01-01 13:15:00,751.3654,485.22168,297.65033,-1.0354664,1.0731745
2023-01-01 13:30:00,742.3092,525.0764,297.87195,-0.9771333,1.0346823
2023-01-01 13:45:00,733.2529,564.9311,298.09357,-0.9188001,0.9961901
2023-01-01 14:00:00,724.19666,604.7858,298.3152,-0.86046696,0.95769787
