# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-30T00:00:00.0
# Date end (ISO 8601): 2024-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 14.1162
# Longitude (positive East, ISO 19115): 100.6206
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-07-14
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-30T00:00:00.0/2022-06-30T01:00:00.0;473.0150;283.7394;201.8937;81.8458;553.2471;280.4151;194.5631;85.8521;528.4974;1.0000
2022-06-30T01:00:00.0/2022-06-30T02:00:00.0;750.6796;502.0870;385.7613;116.3257;674.5841;492.4025;360.5930;131.8095;631.2552;1.0000
2022-06-30T02:00:00.0/2022-06-30T03:00:00.0;985.8281;694.4659;549.4551;145.0108;733.4753;680.9272;508.3055;172.6217;678.5240;0.9167
2022-06-30T03:00:00.0/2022-06-30T04:00:00.0;1162.4326;839.3317;660.7637;178.5680;748.8765;753.6793;386.3172;367.3621;439.1289;1.0000
2022-06-30T04:00:00.0/2022-06-30T05:00:00.0;1268.4534;923.6927;705.2858;218.4069;732.5389;825.9539;394.4006;431.5533;409.5412;1.0000
2022-06-30T05:00:00.0/2022-06-30T06:00:00.0;1296.6605;941.8727;691.2719;250.6008;702.2382;884.3893;503.2573;381.1320;511.1042;1.0000
2022-06-30T06:00:00.0/2022-06-30T07:00:00.0;1245.1278;896.5229;645.7913;250.7315;683.2228;748.4163;259.4222;488.9941;274.1525;1.0000
2022-06-30T07:00:00.0/2022-06-30T08:00:00.0;1117.3644;791.3347;571.6901;219.6446;673.7137;639.0375;205.8170;433.2205;241.5636;1.0000
2022-06-30T08:00:00.0/2022-06-30T09:00:00.0;922.0748;630.5064;447.7811;182.7253;638.6940;583.3228;334.8260;248.4968;487.2442;1.0000
2022-06-30T09:00:00.0/2022-06-30T10:00:00.0;672.5660;427.8398;287.8294;140.0104;559.8525;370.8341;169.9854;200.8487;319.8449;1.0000
2022-06-30T10:00:00.0/2022-06-30T11:00:00.0;385.8391;207.6694;118.9457;88.7237;390.6750;100.9789;11.6211;89.3577;31.0004;1.0000
2022-06-30T11:00:00.0/2022-06-30T12:00:00.0;89.8012;32.5679;10.8406;21.7274;85.7836;22.7255;0.0963;22.6292;0.6905;0.8500
2022-06-30T12:00:00.0/2022-06-30T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T13:00:00.0/2022-06-30T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T14:00:00.0/2022-06-30T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
