# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-30T00:00:00.0
# Date end (ISO 8601): 2024-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 18.5666
# Longitude (positive East, ISO 19115): 99.0385
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-07-14
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-30T00:00:00.0/2022-06-30T01:00:00.0;473.5312;296.9510;222.3065;74.6446;608.6552;92.6361;3.0013;89.6349;6.8262;1.0000
2022-06-30T01:00:00.0/2022-06-30T02:00:00.0;748.2808;519.0873;424.8013;94.2860;745.1098;185.9553;8.2358;177.7196;15.3177;1.0000
2022-06-30T02:00:00.0/2022-06-30T03:00:00.0;983.3100;715.6653;609.9846;105.6807;816.2325;94.9499;0.0105;94.9394;0.0149;0.9167
2022-06-30T03:00:00.0/2022-06-30T04:00:00.0;1162.5991;867.3781;752.6906;114.6875;852.5989;144.0643;0.0232;144.0411;0.0254;1.0000
2022-06-30T04:00:00.0/2022-06-30T05:00:00.0;1273.9255;961.5023;838.7871;122.7152;867.3026;133.7873;0.0194;133.7680;0.0201;1.0000
2022-06-30T05:00:00.0/2022-06-30T06:00:00.0;1309.6978;991.0347;862.8292;128.2055;867.8278;289.6367;10.7961;278.8406;10.8849;1.0000
2022-06-30T06:00:00.0/2022-06-30T07:00:00.0;1267.4735;954.5331;826.5032;128.0299;858.9192;542.4019;96.5597;445.8422;100.7524;1.0000
2022-06-30T07:00:00.0/2022-06-30T08:00:00.0;1150.1273;854.9012;732.7319;122.1693;838.9013;643.0363;218.3495;424.6868;253.1808;1.0000
2022-06-30T08:00:00.0/2022-06-30T09:00:00.0;965.6534;699.1938;586.3370;112.8568;798.8486;612.9194;323.7177;289.2018;445.8120;1.0000
2022-06-30T09:00:00.0/2022-06-30T10:00:00.0;726.6214;500.0088;400.9315;99.0773;723.7842;441.1788;259.8327;181.3461;452.2910;1.0000
2022-06-30T10:00:00.0/2022-06-30T11:00:00.0;449.3181;276.8247;200.4074;76.4173;576.3002;182.0632;61.9197;120.1435;167.7960;1.0000
2022-06-30T11:00:00.0/2022-06-30T12:00:00.0;152.6370;69.9205;36.7648;33.1557;235.8093;47.8167;8.2657;39.5509;78.7178;0.8167
2022-06-30T12:00:00.0/2022-06-30T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9917
2022-06-30T13:00:00.0/2022-06-30T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T14:00:00.0/2022-06-30T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T15:00:00.0/2022-06-30T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T16:00:00.0/2022-06-30T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T17:00:00.0/2022-06-30T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T18:00:00.0/2022-06-30T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T19:00:00.0/2022-06-30T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T20:00:00.0/2022-06-30T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T21:00:00.0/2022-06-30T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T22:00:00.0/2022-06-30T23:00:00.0;1.1696;0.2512;0.0081;0.2431;0.0000;0.1687;0.0000;0.1687;0.0000;0.9583
2022-06-30T23:00:00.0/2022-07-01T00:00:00.0;176.3737;85.3548;50.9969;34.3578;309.3561;38.2898;0.0930;38.1968;0.4953;0.8500
2022-07-01T00:00:00.0/2022-07-01T01:00:00.0;472.2802;297.2736;227.8221;69.4515;626.2689;35.1576;0.0030;35.1546;0.0118;1.0000
2022-07-01T01:00:00.0/2022-07-01T02:00:00.0;747.2478;517.7019;428.2706;89.4313;752.4547;135.1932;0.1402;135.0530;0.2241;1.0000
2022-07-01T02:00:00.0/2022-07-01T03:00:00.0;982.5372;712.5593;609.9209;102.6385;816.8528;315.7177;26.7364;288.9813;34.0313;0.9167
2022-07-01T03:00:00.0/2022-07-01T04:00:00.0;1162.1106;863.3882;750.3430;113.0452;850.2664;432.1493;46.6489;385.5004;52.9980;1.0000
2022-07-01T04:00:00.0/2022-07-01T05:00:00.0;1273.7253;957.5471;836.0452;121.5019;864.5685;405.2887;26.5397;378.7490;27.3012;1.0000
2022-07-01T05:00:00.0/2022-07-01T06:00:00.0;1309.7698;987.3615;859.9506;127.4109;864.8494;535.8288;82.0064;453.8224;82.4442;1.0000
2022-07-01T06:00:00.0/2022-07-01T07:00:00.0;1267.7826;950.9404;822.5798;128.3606;854.5850;496.7839;76.6989;420.0850;79.0526;1.0000
2022-07-01T07:00:00.0/2022-07-01T08:00:00.0;1150.6217;851.1616;726.9505;124.2111;831.8568;276.2703;3.6925;272.5777;4.1245;1.0000
2022-07-01T08:00:00.0/2022-07-01T09:00:00.0;966.2682;695.4942;579.2303;116.2638;788.5533;296.7214;19.8336;276.8878;28.8429;0.9167
2022-07-01T09:00:00.0/2022-07-01T10:00:00.0;727.2832;497.5184;396.1485;101.3700;714.6255;323.4807;77.1763;246.3044;139.0042;1.0000
2022-07-01T10:00:00.0/2022-07-01T11:00:00.0;449.9500;276.2937;199.9593;76.3344;574.6225;221.4726;80.4067;141.0658;240.4680;1.0000
2022-07-01T11:00:00.0/2022-07-01T12:00:00.0;153.1641;70.2579;37.4535;32.8044;240.5813;36.9069;5.1141;31.7929;25.2602;0.8167
2022-07-01T12:00:00.0/2022-07-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9917
2022-07-01T13:00:00.0/2022-07-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T14:00:00.0/2022-07-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T15:00:00.0/2022-07-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T16:00:00.0/2022-07-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T17:00:00.0/2022-07-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T18:00:00.0/2022-07-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T19:00:00.0/2022-07-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T20:00:00.0/2022-07-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T21:00:00.0/2022-07-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-01T22:00:00.0/2022-07-01T23:00:00.0;1.0441;0.2174;0.0038;0.2136;0.0000;0.1785;0.0002;0.1782;0.0000;0.9583
2022-07-01T23:00:00.0/2022-07-02T00:00:00.0;174.9395;82.4046;45.6187;36.7860;272.8729;62.0456;4.6405;57.4050;26.7325;0.8500
2022-07-02T00:00:00.0/2022-07-02T01:00:00.0;471.0232;293.9064;218.1037;75.8027;600.1442;171.0910;14.0993;156.9916;42.1560;1.0000
2022-07-02T01:00:00.0/2022-07-02T02:00:00.0;746.2228;515.5434;418.1026;97.4408;735.3156;146.0141;1.0283;144.9858;2.0716;1.0000
2022-07-02T02:00:00.0/2022-07-02T03:00:00.0;981.7829;711.8868;600.8422;111.0446;805.1950;229.0073;1.7687;227.2386;2.3078;0.9167
2022-07-02T03:00:00.0/2022-07-02T04:00:00.0;1161.6465;864.0989;743.6145;120.4845;842.9041;352.8141;14.7138;338.1004;16.5328;1.0000
2022-07-02T04:00:00.0/2022-07-02T05:00:00.0;1273.5509;959.3790;832.2971;127.0818;860.7676;414.9345;24.6860;390.2485;25.5353;1.0000
2022-07-02T05:00:00.0/2022-07-02T06:00:00.0;1309.8640;990.1011;859.1808;130.9204;863.9866;510.1682;70.8358;439.3324;71.3115;1.0000
2022-07-02T06:00:00.0/2022-07-02T07:00:00.0;1268.1061;953.9446;822.3373;131.6074;854.0781;692.1619;221.0545;471.1074;229.6353;1.0000
2022-07-02T07:00:00.0/2022-07-02T08:00:00.0;1151.1183;853.7371;724.8265;128.9106;829.0134;727.0425;348.7679;378.2745;400.5722;1.0000
2022-07-02T08:00:00.0/2022-07-02T09:00:00.0;966.8701;697.2630;575.2968;121.9662;782.6133;603.4684;297.3205;306.1479;403.7904;1.0000
2022-07-02T09:00:00.0/2022-07-02T10:00:00.0;727.9148;497.8990;390.9919;106.9071;704.5135;335.6539;92.7449;242.9090;161.9968;1.0000
2022-07-02T10:00:00.0/2022-07-02T11:00:00.0;450.5334;275.4059;195.1255;80.2804;559.4536;131.4051;19.6802;111.7249;47.6849;1.0000
2022-07-02T11:00:00.0/2022-07-02T12:00:00.0;153.6247;69.6581;35.7157;33.9423;227.9460;38.9374;5.3527;33.5848;38.2804;0.8167
2022-07-02T12:00:00.0/2022-07-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9917
2022-07-02T13:00:00.0/2022-07-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T14:00:00.0/2022-07-02T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T15:00:00.0/2022-07-02T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T16:00:00.0/2022-07-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T17:00:00.0/2022-07-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T18:00:00.0/2022-07-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T19:00:00.0/2022-07-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T20:00:00.0/2022-07-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T21:00:00.0/2022-07-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-02T22:00:00.0/2022-07-02T23:00:00.0;0.8985;0.1895;0.0031;0.1864;0.0000;0.1895;0.0031;0.1864;0.0000;0.9667
2022-07-02T23:00:00.0/2022-07-03T00:00:00.0;173.4850;83.4350;47.9254;35.5096;291.8994;47.3879;7.0933;40.2946;76.9024;0.8500
2022-07-03T00:00:00.0/2022-07-03T01:00:00.0;469.7622;295.9758;221.9762;73.9996;612.7206;112.7202;1.5631;111.1571;3.6595;1.0000
2022-07-03T01:00:00.0/2022-07-03T02:00:00.0;745.2074;518.3489;423.4019;94.9470;745.7173;234.0905;10.3236;223.7669;17.0733;1.0000
2022-07-03T02:00:00.0/2022-07-03T03:00:00.0;981.0479;715.0211;607.0110;108.0100;814.0823;415.4412;69.8945;345.5467;90.9915;0.9167
2022-07-03T03:00:00.0/2022-07-03T04:00:00.0;1161.2073;867.1210;747.8975;119.2236;848.1263;525.2583;114.2066;411.0517;132.3391;1.0000
2022-07-03T04:00:00.0/2022-07-03T05:00:00.0;1273.4021;962.0088;831.7419;130.2668;860.3019;455.7299;46.2931;409.4368;47.4310;1.0000
2022-07-03T05:00:00.0/2022-07-03T06:00:00.0;1309.9801;992.1899;853.4501;138.7398;858.1289;692.1008;201.9293;490.1715;202.8506;1.0000
2022-07-03T06:00:00.0/2022-07-03T07:00:00.0;1268.4426;956.5391;820.6806;135.8586;852.1853;408.2054;24.3429;383.8625;25.4253;1.0000
2022-07-03T07:00:00.0/2022-07-03T08:00:00.0;1151.6158;858.0350;735.9873;122.0477;841.5763;694.8086;437.1509;257.6576;510.4931;1.0000
2022-07-03T08:00:00.0/2022-07-03T09:00:00.0;967.4573;703.4841;597.8004;105.6838;813.1531;453.8262;125.0564;328.7698;167.1317;1.0000
2022-07-03T09:00:00.0/2022-07-03T10:00:00.0;728.5142;505.2319;415.5052;89.7267;748.3660;346.9791;104.9650;242.0140;182.7021;1.0000
2022-07-03T10:00:00.0/2022-07-03T11:00:00.0;451.0665;281.9640;211.9663;69.9977;608.2300;191.0222;66.0629;124.9593;224.1294;1.0000
2022-07-03T11:00:00.0/2022-07-03T12:00:00.0;154.0171;72.6212;41.2235;31.3977;266.9718;57.0025;15.9435;41.0590;123.5967;0.8167
2022-07-03T12:00:00.0/2022-07-03T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9917
2022-07-03T13:00:00.0/2022-07-03T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T14:00:00.0/2022-07-03T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T15:00:00.0/2022-07-03T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T16:00:00.0/2022-07-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T17:00:00.0/2022-07-03T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T18:00:00.0/2022-07-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T19:00:00.0/2022-07-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T20:00:00.0/2022-07-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T21:00:00.0/2022-07-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-03T22:00:00.0/2022-07-03T23:00:00.0;0.7944;0.1679;0.0050;0.1629;0.0000;0.1679;0.0050;0.1629;0.0000;0.9667
2022-07-03T23:00:00.0/2022-07-04T00:00:00.0;172.0119;84.1917;51.3903;32.8015;317.1622;68.9680;15.7713;53.1966;127.7273;0.8500
2022-07-04T00:00:00.0/2022-07-04T01:00:00.0;468.4988;297.4362;230.9653;66.4709;640.1006;189.3714;21.7563;167.6150;61.9712;1.0000
2022-07-04T01:00:00.0/2022-07-04T02:00:00.0;744.2027;519.4758;434.0800;85.3958;765.7740;314.6677;63.2094;251.4583;107.4484;1.0000
2022-07-04T02:00:00.0/2022-07-04T03:00:00.0;980.3330;716.0401;618.1699;97.8702;829.7188;544.4319;183.2999;361.1320;243.2474;0.9167
2022-07-04T03:00:00.0/2022-07-04T04:00:00.0;1160.7932;868.2508;759.2977;108.9531;861.3693;630.7679;343.3441;287.4239;395.3520;1.0000
2022-07-04T04:00:00.0/2022-07-04T05:00:00.0;1273.2788;963.3033;843.6485;119.6548;872.6929;944.7914;765.2012;179.5902;792.8397;1.0000
2022-07-04T05:00:00.0/2022-07-04T06:00:00.0;1310.1172;993.7214;866.0602;127.6612;870.7076;986.2778;833.4560;152.8219;837.8522;1.0000
2022-07-04T06:00:00.0/2022-07-04T07:00:00.0;1268.7914;957.7686;829.7529;128.0157;861.3208;897.5310;616.5345;280.9965;636.5359;1.0000
2022-07-04T07:00:00.0/2022-07-04T08:00:00.0;1152.1128;858.3431;737.5815;120.7616;842.9365;790.9898;498.2505;292.7393;573.3900;1.0000
2022-07-04T08:00:00.0/2022-07-04T09:00:00.0;968.0284;702.6703;592.3633;110.3070;805.0576;554.2133;337.4403;216.7730;439.0016;1.0000
2022-07-04T09:00:00.0/2022-07-04T10:00:00.0;729.0800;503.9635;408.1451;95.8184;734.4998;334.3025;89.6850;244.6174;169.7901;1.0000
2022-07-04T10:00:00.0/2022-07-04T11:00:00.0;451.5478;281.0255;207.5799;73.4455;594.8016;171.0562;28.8210;142.2352;90.0510;1.0000
2022-07-04T11:00:00.0/2022-07-04T12:00:00.0;154.3402;72.2477;39.9471;32.3005;257.4299;31.4307;0.4238;31.0069;1.9630;0.8167
2022-07-04T12:00:00.0/2022-07-04T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9917
2022-07-04T13:00:00.0/2022-07-04T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-04T14:00:00.0/2022-07-04T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-04T15:00:00.0/2022-07-04T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-04T16:00:00.0/2022-07-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-07-04T17:00:00.0/2022-07-04T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
