# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-30T00:00:00.0
# Date end (ISO 8601): 2024-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 12.6336
# Longitude (positive East, ISO 19115): 101.3408
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-07-14
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-30T00:00:00.0/2022-06-30T01:00:00.0;476.2195;296.3389;217.8233;78.5156;592.8652;163.8166;11.8638;151.9528;33.6263;1.0000
2022-06-30T01:00:00.0/2022-06-30T02:00:00.0;753.9612;517.6405;416.0680;101.5725;724.3804;208.5485;14.3300;194.2185;22.4064;1.0000
2022-06-30T02:00:00.0/2022-06-30T03:00:00.0;988.0740;710.1124;593.2067;116.9057;790.0410;385.3076;56.9516;328.3561;77.6449;0.9167
2022-06-30T03:00:00.0/2022-06-30T04:00:00.0;1162.6003;855.8255;728.9774;126.8481;825.7038;430.7336;58.2711;372.4624;65.7166;1.0000
2022-06-30T04:00:00.0/2022-06-30T05:00:00.0;1265.6421;942.5690;810.1230;132.4460;843.1431;588.7872;153.6486;435.1385;158.6113;1.0000
2022-06-30T05:00:00.0/2022-06-30T06:00:00.0;1290.1725;962.6863;827.4367;135.2496;844.8213;904.9324;641.9742;262.9582;656.0222;1.0000
2022-06-30T06:00:00.0/2022-06-30T07:00:00.0;1234.5161;915.6811;783.9781;131.7030;836.4667;474.7545;146.8702;327.8842;153.6400;1.0000
2022-06-30T07:00:00.0/2022-06-30T08:00:00.0;1102.4630;805.2933;683.4867;121.8066;816.2831;323.2338;46.7404;276.4934;53.2169;1.0000
2022-06-30T08:00:00.0/2022-06-30T09:00:00.0;903.0106;639.5353;530.9999;108.5353;773.3622;114.2236;0.0810;114.1426;0.1327;1.0000
2022-06-30T09:00:00.0/2022-06-30T10:00:00.0;649.7492;431.2806;336.7196;94.5610;677.6838;98.4680;0.3427;98.1252;0.6081;1.0000
2022-06-30T10:00:00.0/2022-06-30T11:00:00.0;359.9360;204.0504;133.9703;70.0801;469.4257;92.1567;7.0743;85.0825;27.3341;1.0000
2022-06-30T11:00:00.0/2022-06-30T12:00:00.0;69.7942;26.5758;9.9037;16.6720;88.6964;24.0257;5.4033;18.6224;56.7880;0.8083
2022-06-30T12:00:00.0/2022-06-30T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T13:00:00.0/2022-06-30T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-30T14:00:00.0/2022-06-30T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
