Datetime,ssrdc,ssrd,t2m,v10,u10
2023-01-01 07:00:00,0.0,0.0,293.9475,-1.6497107,-0.8512716
2023-01-01 08:00:00,133.37123,98.227776,295.88794,-2.1473894,-1.1205072
2023-01-01 09:00:00,354.8868,267.67383,297.95483,-2.2187262,-1.922329
2023-01-01 10:00:00,565.07196,510.34674,299.25317,-3.3409138,-4.171194
2023-01-01 11:00:00,732.9042,621.0653,300.0122,-3.3037834,-4.5702057
2023-01-01 12:00:00,838.70557,695.9347,300.50757,-3.1993551,-4.426285
2023-01-01 13:00:00,870.96387,712.74475,300.73633,-3.1834993,-4.3345222
2023-01-01 14:00:00,829.7967,721.0525,300.71753,-3.3530931,-4.172967
2023-01-01 15:00:00,718.0947,600.945,300.29492,-3.3750582,-4.0611734
2023-01-01 16:00:00,545.705,444.11,299.70996,-3.272337,-3.882247
2023-01-01 17:00:00,331.94446,283.05945,298.90503,-3.1340065,-3.5845947
2023-01-01 18:00:00,112.69889,88.55556,297.76416,-2.580554,-2.5919542
2023-01-01 19:00:00,1.8488889,1.8488889,297.14868,-2.723876,-2.294139
2023-01-01 20:00:00,,,296.67676,-2.823842,-2.0723858
2023-01-01 21:00:00,,,296.3589,-2.732047,-1.8198824
2023-01-01 22:00:00,,,296.0288,-2.5175848,-1.5875978
2023-01-01 23:00:00,,,295.52856,-2.2489824,-1.1577806
2023-01-02 00:00:00,,,295.06128,-1.9833517,-0.6806927
2023-01-02 01:00:00,,,294.66602,-1.8583574,-0.46106815
2023-01-02 02:00:00,,,294.25488,-1.8478918,-0.49618912
2023-01-02 03:00:00,,,293.99072,-1.8300142,-0.62785244
2023-01-02 04:00:00,,,293.9209,-1.8822365,-0.7588301
2023-01-02 05:00:00,,,293.75488,-1.8913727,-0.8541212
2023-01-02 06:00:00,,,293.76172,-1.9644022,-0.95530605
2023-01-02 07:00:00,0.0,0.0,293.85474,-1.8052483,-0.6788864
2023-01-02 08:00:00,130.38432,129.76398,296.04907,-2.270856,-0.8648472
2023-01-02 09:00:00,351.71994,348.4609,298.3589,-2.4171705,-2.021431
2023-01-02 10:00:00,562.93994,554.01965,299.77417,-2.9172964,-3.5775146
