Datetime,Site_id,rawI,I,CI_CM,CI_CM_interpolated,CI_RGB,CI_RGB_interpolated,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,Iclr
2023-03-31 00:00:00,45,-2.6626666666666665,0.0,,,,,299.0,70.16,998.25,1.65,203.87,0.0,0.0,0.0,0.0,0.0
2023-03-31 00:15:00,45,-2.6626666666666665,0.0,,,,,298.89,70.27,998.2,1.61,207.41,0.0,0.0,0.0,0.0,0.0
2023-03-31 00:30:00,45,-2.316,0.0,,,,,298.78,70.38,998.16,1.58,211.11,0.0,0.0,0.0,0.0,0.0
2023-03-31 00:45:00,45,-2.158333333333333,0.0,,,,,298.67,70.49,998.12,1.56,214.93,0.0,0.0,0.0,0.0,0.0
2023-03-31 01:00:00,45,-1.8136666666666663,0.0,,,,,298.56,70.6,998.07,1.55,218.85,0.0,0.0,0.0,0.0,0.0
2023-03-31 01:15:00,45,-1.8626666666666667,0.0,,,,,298.43,70.77,998.02,1.52,221.07,0.0,0.0,0.0,0.0,0.0
2023-03-31 01:30:00,45,-1.9023333333333328,0.0,,,,,298.3,70.94,997.97,1.49,223.38,0.0,0.0,0.0,0.0,0.0
2023-03-31 01:45:00,45,-2.3703333333333334,0.0,,,,,298.17,71.11,997.92,1.46,225.77,0.0,0.0,0.0,0.0,0.0
2023-03-31 02:00:00,45,-2.229,0.0,,,,,298.04,71.28,997.88,1.44,228.24,0.0,0.0,0.0,0.0,0.0
2023-03-31 02:15:00,45,-2.0795,0.0,,,,,297.91,71.45,997.83,1.42,230.79,0.0,0.0,0.0,0.0,0.0
2023-03-31 02:30:00,45,-2.3136666666666668,0.0,,,,,297.78,71.62,997.78,1.4,233.39,0.0,0.0,0.0,0.0,0.0
2023-03-31 02:45:00,45,-2.388,0.0,,,,,297.65,71.79,997.73,1.39,236.06,0.0,0.0,0.0,0.0,0.0
2023-03-31 03:00:00,45,-2.3895,0.0,,,,,297.52,71.96,997.68,1.38,238.77,0.0,0.0,0.0,0.0,0.0
2023-03-31 03:15:00,45,-2.4856666666666665,0.0,,,,,297.39,72.13,997.63,1.37,241.52,0.0,0.0,0.0,0.0,0.0
2023-03-31 03:30:00,45,-2.1915,0.0,,,,,297.26,72.3,997.58,1.37,244.3,0.0,0.0,0.0,0.0,0.0
2023-03-31 03:45:00,45,-2.5005,0.0,,,,,297.14,72.47,997.53,1.37,247.08,0.0,0.0,0.0,0.0,0.0
2023-03-31 04:00:00,45,-2.611,0.0,,,,,297.01,72.64,997.48,1.37,249.87,0.0,0.0,0.0,0.0,0.0
2023-03-31 04:15:00,45,-2.438833333333333,0.0,,,,,297.04,72.21,997.62,1.36,251.01,0.0,0.0,0.0,0.0,0.0
2023-03-31 04:30:00,45,-2.5875,0.0,,,,,297.08,71.79,997.75,1.34,252.17,0.0,0.0,0.0,0.0,0.0
2023-03-31 04:45:00,45,-2.45,0.0,,,,,297.12,71.36,997.89,1.33,253.34,0.0,0.0,0.0,0.0,0.0
2023-03-31 05:00:00,45,-1.9993333333333327,0.0,,,,,297.16,70.94,998.02,1.32,254.54,0.0,0.0,0.0,0.0,0.0
2023-03-31 05:15:00,45,-2.056,0.0,,,,,297.19,70.52,998.15,1.31,255.76,0.0,0.0,0.0,0.0,0.0
2023-03-31 05:30:00,45,-1.870833333333333,0.0,,,,,297.23,70.09,998.29,1.3,257.0,0.0,0.0,0.0,0.0,0.0
2023-03-31 05:45:00,45,-1.8173333333333328,0.0,,,,,297.27,69.67,998.42,1.29,258.25,0.0,0.0,0.0,0.0,0.0
2023-03-31 06:00:00,45,-1.7523333333333333,0.0,12.0,12.0,0.0,0.0,297.31,69.24,998.56,1.29,259.52,0.0,0.0,0.0,0.0,0.0
2023-03-31 06:15:00,45,0.1426666666666666,0.1426666666666666,12.0,12.0,17.0,17.0,297.34,68.82,998.69,1.28,260.81,0.0,0.0,0.0,0.0,0.0
2023-03-31 06:30:00,45,9.453166666666666,9.453166666666668,11.0,11.0,139.0,139.0,297.38,68.39,998.83,1.27,262.11,0.0,0.0,0.0,5.4964,0.5965443369309539
2023-03-31 06:45:00,45,35.412166666666664,35.412166666666664,10.0,10.0,121.0,121.0,297.42,67.97,998.96,1.27,263.42,0.0,0.0,0.0,45.9684,15.697514654238832
2023-03-31 07:00:00,45,81.8035,81.8035,9.0,9.0,103.0,103.0,297.46,67.54,999.1,1.26,264.75,0.0,0.0,0.0,95.814,53.15591114708273
