Datetime,ssrdc,ssrd,t2m,u10,v10,I,Temperature,Wind speed,Wind direction,Iclr
2023-01-01 00:00:00,,,,,,,,,,
2023-01-01 00:15:00,,,,,,,,,,
2023-01-01 00:30:00,,,,,,,,,,
2023-01-01 00:45:00,,,,,,,,,,
2023-01-01 01:00:00,,,,,,,,,,
2023-01-01 01:15:00,,,,,,,,,,
2023-01-01 01:30:00,,,,,,,,,,
2023-01-01 01:45:00,,,,,,,,,,
2023-01-01 02:00:00,,,,,,,,,,
2023-01-01 02:15:00,,,,,,,,,,
2023-01-01 02:30:00,,,,,,,,,,
2023-01-01 02:45:00,,,,,,,,,,
2023-01-01 03:00:00,,,,,,,,,,
2023-01-01 03:15:00,,,,,,,,,,
2023-01-01 03:30:00,,,,,,,,,,
2023-01-01 03:45:00,,,,,,,,,,
2023-01-01 04:00:00,,,,,,,,,,
2023-01-01 04:15:00,,,,,,,,,,
2023-01-01 04:30:00,,,,,,,,,,
2023-01-01 04:45:00,,,,,,,,,,
2023-01-01 05:00:00,,,,,,,,,,
2023-01-01 05:15:00,,,,,,,,,,
2023-01-01 05:30:00,,,,,,,,,,
2023-01-01 05:45:00,,,,,,,,,,
2023-01-01 06:00:00,,,,,,,,,,
2023-01-01 06:15:00,,,,,,,,,,
2023-01-01 06:30:00,,,,,,,,,,
2023-01-01 06:45:00,,,,,,,,,,
2023-01-01 07:00:00,0.0,0.0,288.6775,-2.4530783,-2.4336462,,,,,
2023-01-01 07:15:00,38.496143,35.95028,289.01843,-2.485353,-2.5119233,,,,,
2023-01-01 07:30:00,76.99229,71.90056,289.35938,-2.5176277,-2.5902004,,,,,
2023-01-01 07:45:00,115.488434,107.85084,289.70032,-2.5499024,-2.6684775,,,,,
2023-01-01 08:00:00,153.98457,143.80112,290.04126,-2.5821772,-2.7467546,,,,,
2023-01-01 08:15:00,210.19458,201.94485,290.45203,-2.6888216,-2.785646,,,,,
2023-01-01 08:30:00,266.40457,260.08856,290.8628,-2.795466,-2.8245373,,,,,
2023-01-01 08:45:00,322.6146,318.2323,291.27356,-2.9021103,-2.8634286,,,,,
2023-01-01 09:00:00,378.8246,376.37604,291.68433,-3.0087547,-2.90232,,,,,
2023-01-01 09:15:00,429.34644,427.1176,292.1189,-2.966906,-2.863714,,,,,
2023-01-01 09:30:00,479.86826,477.85916,292.55347,-2.9250574,-2.825108,,,,,
2023-01-01 09:45:00,530.3901,528.6007,292.98804,-2.8832088,-2.7865021,,,,,
2023-01-01 10:00:00,580.9119,579.3423,293.4226,-2.84136,-2.7478962,,,,,
2023-01-01 10:15:00,619.0122,617.27966,293.86566,-2.8095822,-2.7647977,,,,,
2023-01-01 10:30:00,657.1125,655.2171,294.30872,-2.7778044,-2.7816992,,,,,
2023-01-01 10:45:00,695.21277,693.15454,294.75177,-2.7460265,-2.7986007,,,,,
2023-01-01 11:00:00,733.31305,731.0919,295.19482,-2.7142487,-2.8155022,,,,,
2023-01-01 11:15:00,755.5101,753.5648,295.60956,-2.7457733,-2.8441436,,,,,
2023-01-01 11:30:00,777.7071,776.0377,296.0243,-2.777298,-2.872785,,,,,
2023-01-01 11:45:00,799.9041,798.5107,296.43903,-2.8088226,-2.9014266,,,,,
2023-01-01 12:00:00,822.10114,820.9836,296.85376,-2.8403473,-2.930068,,,,,
2023-01-01 12:15:00,826.0946,825.435,297.1844,-2.8854609,-2.9478326,,,,,
