Datetime,ssrdc,ssrd,t2m,u10,v10,I,Temperature,Wind speed,Wind direction,Iclr
2023-01-01 00:00:00,,,,,,,,,,
2023-01-01 00:15:00,,,,,,,,,,
2023-01-01 00:30:00,,,,,,,,,,
2023-01-01 00:45:00,,,,,,,,,,
2023-01-01 01:00:00,,,,,,,,,,
2023-01-01 01:15:00,,,,,,,,,,
2023-01-01 01:30:00,,,,,,,,,,
2023-01-01 01:45:00,,,,,,,,,,
2023-01-01 02:00:00,,,,,,,,,,
2023-01-01 02:15:00,,,,,,,,,,
2023-01-01 02:30:00,,,,,,,,,,
2023-01-01 02:45:00,,,,,,,,,,
2023-01-01 03:00:00,,,,,,,,,,
2023-01-01 03:15:00,,,,,,,,,,
2023-01-01 03:30:00,,,,,,,,,,
2023-01-01 03:45:00,,,,,,,,,,
2023-01-01 04:00:00,,,,,,,,,,
2023-01-01 04:15:00,,,,,,,,,,
2023-01-01 04:30:00,,,,,,,,,,
2023-01-01 04:45:00,,,,,,,,,,
2023-01-01 05:00:00,,,,,,,,,,
2023-01-01 05:15:00,,,,,,,,,,
2023-01-01 05:30:00,,,,,,,,,,
2023-01-01 05:45:00,,,,,,,,,,
2023-01-01 06:00:00,,,,,,,,,,
2023-01-01 06:15:00,,,,,,,,,,
2023-01-01 06:30:00,,,,,,,,,,
2023-01-01 06:45:00,,,,,,,,,,
2023-01-01 07:00:00,0.0,0.0,295.11255,-4.2350607,-4.7253942,,,,,
2023-01-01 07:15:00,40.04392,34.559166,295.1538,-4.226991,-4.822409,,,,,
2023-01-01 07:30:00,80.08784,69.11833,295.19507,-4.2189217,-4.919424,,,,,
2023-01-01 07:45:00,120.13176,103.6775,295.23633,-4.210852,-5.016439,,,,,
2023-01-01 08:00:00,160.17567,138.23666,295.2776,-4.2027826,-5.113454,,,,,
2023-01-01 08:15:00,217.65234,190.7315,295.46716,-4.154764,-5.11017,,,,,
2023-01-01 08:30:00,275.12903,243.22635,295.65674,-4.1067452,-5.106886,,,,,
2023-01-01 08:45:00,332.60568,295.7212,295.8463,-4.0587263,-5.103602,,,,,
2023-01-01 09:00:00,390.08237,348.21603,296.0359,-4.010708,-5.100318,,,,,
2023-01-01 09:15:00,442.1253,390.76648,296.32715,-3.9583,-5.0051327,,,,,
2023-01-01 09:30:00,494.16827,433.31696,296.6184,-3.9058924,-4.909947,,,,,
2023-01-01 09:45:00,546.2112,475.8674,296.90967,-3.8534846,-4.814761,,,,,
2023-01-01 10:00:00,598.25415,518.41785,297.20093,-3.801077,-4.719576,,,,,
2023-01-01 10:15:00,637.6589,566.0664,297.53174,-3.7962155,-4.6357694,,,,,
2023-01-01 10:30:00,677.0636,613.7149,297.86255,-3.7913542,-4.551963,,,,,
2023-01-01 10:45:00,716.4683,661.3634,298.19336,-3.7864928,-4.4681563,,,,,
2023-01-01 11:00:00,755.87305,709.01196,298.52417,-3.7816315,-4.38435,,,,,
2023-01-01 11:15:00,778.67004,738.35596,298.81262,-3.7684784,-4.2825594,,,,,
2023-01-01 11:30:00,801.46704,767.7,299.10107,-3.7553253,-4.1807685,,,,,
2023-01-01 11:45:00,824.2641,797.04407,299.38953,-3.7421722,-4.0789776,,,,,
2023-01-01 12:00:00,847.0611,826.38806,299.67798,-3.7290192,-3.9771872,,,,,
2023-01-01 12:15:00,851.5168,832.4661,299.90375,-3.6855707,-3.844378,,,,,
