Datetime,lcc,mcc,hcc,tcc
2023-01-01 07:00:00,0.0037841797,0.0,0.905426,0.905426
2023-01-01 07:15:00,0.0028381348,0.0,0.9055557,0.9055557
2023-01-01 07:30:00,0.0018920898,0.0,0.9056854,0.9056854
2023-01-01 07:45:00,0.0009460449,0.0,0.9058151,0.9058151
2023-01-01 08:00:00,0.0,0.0,0.9059448,0.9059448
2023-01-01 08:15:00,0.0002746582,0.0,0.8645477,0.8645477
2023-01-01 08:30:00,0.0005493164,0.0,0.82315063,0.82315063
2023-01-01 08:45:00,0.0008239746,0.0,0.78175354,0.78175354
2023-01-01 09:00:00,0.0010986328,0.0,0.74035645,0.74035645
2023-01-01 09:15:00,0.0008239746,0.0,0.67884827,0.67884827
2023-01-01 09:30:00,0.0005493164,0.0,0.6173401,0.6173401
2023-01-01 09:45:00,0.0002746582,0.0,0.5558319,0.5558319
2023-01-01 10:00:00,0.0,0.0,0.49432373,0.49432373
2023-01-01 10:15:00,0.0,0.0,0.48630524,0.48630524
2023-01-01 10:30:00,0.0,0.0,0.47828674,0.47828674
2023-01-01 10:45:00,0.0,0.0,0.47026825,0.47026825
2023-01-01 11:00:00,0.0,0.0,0.46224976,0.46224976
2023-01-01 11:15:00,0.0,0.0,0.41020966,0.41020966
2023-01-01 11:30:00,0.0,0.0,0.35816956,0.35816956
2023-01-01 11:45:00,0.0,0.0,0.30612946,0.30612946
2023-01-01 12:00:00,0.0,0.0,0.25408936,0.25408936
2023-01-01 12:15:00,3.8146973e-05,0.0,0.28723145,0.28726196
2023-01-01 12:30:00,7.6293945e-05,0.0,0.32037354,0.32043457
2023-01-01 12:45:00,0.00011444092,0.0,0.35351562,0.35360718
2023-01-01 13:00:00,0.00015258789,0.0,0.3866577,0.3867798
2023-01-01 13:15:00,0.00033569336,0.0,0.2899933,0.2903061
2023-01-01 13:30:00,0.0005187988,0.0,0.19332886,0.1938324
2023-01-01 13:45:00,0.0007019043,0.0,0.09666443,0.0973587
2023-01-01 14:00:00,0.00088500977,0.0,0.0,0.00088500977
