Datetime,lcc,mcc,hcc,tcc,CI_RGB_interpolated,CSI
2023-01-01 21:15:00,0.2748947,0.14936829,0.90128326,0.93096924,,
2023-01-01 21:30:00,0.23979187,0.15484619,0.8896637,0.9218445,,
2023-01-01 21:45:00,0.20468903,0.1603241,0.8780441,0.9127197,,
2023-01-01 22:00:00,0.16958618,0.165802,0.86642456,0.903595,,
2023-01-01 22:15:00,0.14645386,0.1409607,0.8428116,0.8767395,,
2023-01-01 22:30:00,0.12332153,0.116119385,0.8191986,0.84988403,,
2023-01-01 22:45:00,0.10018921,0.091278076,0.79558563,0.82302856,,
2023-01-01 23:00:00,0.077056885,0.06643677,0.77197266,0.7961731,,
2023-01-01 23:15:00,0.07924652,0.07145691,0.7423096,0.7641449,,
2023-01-01 23:30:00,0.08143616,0.07647705,0.7126465,0.7321167,,
2023-01-01 23:45:00,0.08362579,0.08149719,0.6829834,0.7000885,,
2023-01-02 00:00:00,0.08581543,0.086517334,0.6533203,0.6680603,,
2023-01-02 00:15:00,0.0873642,0.08740997,0.68829346,0.70726776,,
2023-01-02 00:30:00,0.088912964,0.08830261,0.7232666,0.7464752,,
2023-01-02 00:45:00,0.09046173,0.08919525,0.75823975,0.7856827,,
2023-01-02 01:00:00,0.0920105,0.09008789,0.7932129,0.82489014,,
2023-01-02 01:15:00,0.08100128,0.07395172,0.8146286,0.83838654,,
2023-01-02 01:30:00,0.069992065,0.05781555,0.8360443,0.85188293,,
2023-01-02 01:45:00,0.05898285,0.041679382,0.85746,0.86537933,,
2023-01-02 02:00:00,0.047973633,0.025543213,0.87887573,0.87887573,,
2023-01-02 02:15:00,0.045677185,0.029891968,0.879158,0.879158,,
2023-01-02 02:30:00,0.043380737,0.034240723,0.8794403,0.8794403,,
2023-01-02 02:45:00,0.04108429,0.038589478,0.8797226,0.8797226,,
2023-01-02 03:00:00,0.03878784,0.042938232,0.8800049,0.8800049,,
2023-01-02 03:15:00,0.06503296,0.05342102,0.8965988,0.9002762,,
2023-01-02 03:30:00,0.091278076,0.06390381,0.91319275,0.9205475,,
2023-01-02 03:45:00,0.11752319,0.0743866,0.9297867,0.9408188,,
2023-01-02 04:00:00,0.14376831,0.084869385,0.9463806,0.9610901,,
2023-01-02 04:15:00,0.14508057,0.115859985,0.95978546,0.97081757,,
2023-01-02 04:30:00,0.14639282,0.14685059,0.9731903,0.98054504,,
2023-01-02 04:45:00,0.14770508,0.17784119,0.98659515,0.9902725,,
2023-01-02 05:00:00,0.14901733,0.20883179,1.0,1.0,,
2023-01-02 05:15:00,0.137146,0.19709778,1.0,1.0,,
2023-01-02 05:30:00,0.12527466,0.18536377,1.0,1.0,,
2023-01-02 05:45:00,0.11340332,0.17362976,1.0,1.0,,
2023-01-02 06:00:00,0.10153198,0.16189575,1.0,1.0,,
2023-01-02 06:15:00,0.116874695,0.14403534,0.9942398,0.9952774,,
2023-01-02 06:30:00,0.1322174,0.12617493,0.9884796,0.9905548,,
2023-01-02 06:45:00,0.14756012,0.108314514,0.9827194,0.9858322,,
2023-01-02 07:00:00,0.16290283,0.0904541,0.9769592,0.9811096,,
2023-01-02 07:15:00,0.15470123,0.076408386,0.943573,0.95201874,,
2023-01-02 07:30:00,0.14649963,0.06236267,0.91018677,0.92292786,,
2023-01-02 07:45:00,0.13829803,0.048316956,0.87680054,0.893837,,
2023-01-02 08:00:00,0.13009644,0.03427124,0.8434143,0.8647461,,
2023-01-02 08:15:00,0.14820099,0.04685974,0.853035,0.87124634,,
2023-01-02 08:30:00,0.16630554,0.059448242,0.86265564,0.8777466,,
2023-01-02 08:45:00,0.1844101,0.07203674,0.8722763,0.8842468,,
2023-01-02 09:00:00,0.20251465,0.084625244,0.881897,0.8907471,,
2023-01-02 09:15:00,0.19915771,0.09214783,0.89312744,0.9019928,,
2023-01-02 09:30:00,0.19580078,0.09967041,0.9043579,0.9132385,,
2023-01-02 09:45:00,0.19244385,0.10719299,0.9155884,0.92448425,,
2023-01-02 10:00:00,0.18908691,0.114715576,0.92681885,0.93573,,
2023-01-02 10:15:00,0.19434357,0.13335419,0.9176941,0.93172455,,
2023-01-02 10:30:00,0.19960022,0.1519928,0.90856934,0.9277191,,
