Datetime,lcc,mcc,hcc,tcc,CI_RGB_interpolated,CSI
2023-01-01 00:00:00,,,,,,
2023-01-01 00:15:00,,,,,,
2023-01-01 00:30:00,,,,,,
2023-01-01 00:45:00,,,,,,
2023-01-01 01:00:00,,,,,,
2023-01-01 01:15:00,,,,,,
2023-01-01 01:30:00,,,,,,
2023-01-01 01:45:00,,,,,,
2023-01-01 02:00:00,,,,,,
2023-01-01 02:15:00,,,,,,
2023-01-01 02:30:00,,,,,,
2023-01-01 02:45:00,,,,,,
2023-01-01 03:00:00,,,,,,
2023-01-01 03:15:00,,,,,,
2023-01-01 03:30:00,,,,,,
2023-01-01 03:45:00,,,,,,
2023-01-01 04:00:00,,,,,,
2023-01-01 04:15:00,,,,,,
2023-01-01 04:30:00,,,,,,
2023-01-01 04:45:00,,,,,,
2023-01-01 05:00:00,,,,,,
2023-01-01 05:15:00,,,,,,
2023-01-01 05:30:00,,,,,,
2023-01-01 05:45:00,,,,,,
2023-01-01 06:00:00,,,,,,
2023-01-01 06:15:00,,,,,,
2023-01-01 06:30:00,,,,,,
2023-01-01 06:45:00,,,,,,
2023-01-01 07:00:00,0.0,0.0,0.5101013,0.5101013,,
2023-01-01 07:15:00,0.0,0.0,0.6006088,0.6006088,,
2023-01-01 07:30:00,0.0,0.0,0.69111633,0.69111633,,
2023-01-01 07:45:00,0.0,0.0,0.78162384,0.78162384,,
2023-01-01 08:00:00,0.0,0.0,0.87213135,0.87213135,,
2023-01-01 08:15:00,0.0,0.0,0.8933487,0.8933487,,
2023-01-01 08:30:00,0.0,0.0,0.91456604,0.91456604,,
2023-01-01 08:45:00,0.0,0.0,0.9357834,0.9357834,,
2023-01-01 09:00:00,0.0,0.0,0.95700073,0.95700073,,
2023-01-01 09:15:00,0.0,0.0,0.9317932,0.9317932,,
2023-01-01 09:30:00,0.0,0.0,0.9065857,0.9065857,,
2023-01-01 09:45:00,0.0,0.0,0.8813782,0.8813782,,
2023-01-01 10:00:00,0.0,0.0,0.85617065,0.85617065,,
2023-01-01 10:15:00,0.0,0.0,0.8250809,0.8250809,,
2023-01-01 10:30:00,0.0,0.0,0.7939911,0.7939911,,
2023-01-01 10:45:00,0.0,0.0,0.7629013,0.7629013,,
2023-01-01 11:00:00,0.0,0.0,0.7318115,0.7318115,,
2023-01-01 11:15:00,0.0,0.0,0.5632553,0.5632553,,
2023-01-01 11:30:00,0.0,0.0,0.3946991,0.3946991,,
2023-01-01 11:45:00,0.0,0.0,0.22614288,0.22614288,,
2023-01-01 12:00:00,0.0,0.0,0.05758667,0.05758667,,
2023-01-01 12:15:00,0.0,0.0,0.04837036,0.04837036,,
2023-01-01 12:30:00,0.0,0.0,0.039154053,0.039154053,,
2023-01-01 12:45:00,0.0,0.0,0.029937744,0.029937744,,
2023-01-01 13:00:00,0.0,0.0,0.020721436,0.020721436,,
2023-01-01 13:15:00,0.0,0.0,0.036827087,0.036827087,,
2023-01-01 13:30:00,0.0,0.0,0.05293274,0.05293274,,
2023-01-01 13:45:00,0.0,0.0,0.06903839,0.06903839,,
2023-01-01 14:00:00,0.0,0.0,0.08514404,0.08514404,,
2023-01-01 14:15:00,0.0,0.0,0.11294556,0.11294556,,
2023-01-01 14:30:00,0.0,0.0,0.14074707,0.14074707,,
2023-01-01 14:45:00,0.0,0.0,0.16854858,0.16854858,,
