Datetime,ssrdc,ssrd,t2m,v10,u10,I,Temperature,Wind speed,Wind direction,Iclr
2023-01-01 07:00:00,0.0,0.0,291.90063,-2.3870153,-1.4440451,,,,,
2023-01-01 08:00:00,139.28235,129.91222,293.6931,-2.2684832,-1.5995111,,,,,
2023-01-01 09:00:00,365.88235,359.8027,295.5691,-2.105445,-2.6044579,,,,,
2023-01-01 10:00:00,571.7386,571.209,297.40063,-2.2081013,-2.386526,,,,,
2023-01-01 11:00:00,727.2686,714.36304,299.1787,-2.598217,-2.2325592,,,,,
2023-01-01 12:00:00,821.4789,754.7436,300.43335,-2.7149801,-2.1203766,,,,,
2023-01-01 13:00:00,844.33276,810.94916,301.50977,-2.5785189,-2.1245613,,,,,
2023-01-01 14:00:00,793.1389,762.0836,302.0359,-2.450017,-2.0814142,,,,,
2023-01-01 15:00:00,671.6592,651.2206,302.11768,-2.5669527,-1.997941,,,,,
2023-01-01 16:00:00,493.08276,486.20776,301.81836,-2.7686749,-1.9650106,,,,,
2023-01-01 17:00:00,276.40668,276.4461,301.01294,-2.7900124,-1.9259033,,,,,
2023-01-01 18:00:00,66.83222,67.00889,298.9209,-2.1628294,-1.190587,,,,,
2023-01-01 19:00:00,0.0,0.0,297.42505,-2.6257315,-1.2785139,,,,,
2023-01-01 20:00:00,,,296.96045,-2.7794085,-1.6219463,,,,,
2023-01-01 21:00:00,,,296.4082,-2.7083654,-1.8062105,,,,,
2023-01-01 22:00:00,,,295.8872,-2.6049871,-1.855176,,,,,
2023-01-01 23:00:00,,,295.3684,-2.4110918,-1.6807299,,,,,
2023-01-02 00:00:00,,,294.83228,-2.0858908,-1.4160442,,,,,
2023-01-02 01:00:00,,,294.2002,-1.8615313,-1.1898279,,,,,
2023-01-02 02:00:00,,,293.78906,-1.820548,-0.98740005,,,,,
2023-01-02 03:00:00,,,294.12158,-1.801938,-0.8402548,,,,,
2023-01-02 04:00:00,,,294.562,-1.6764259,-0.74662304,,,,,
2023-01-02 05:00:00,,,294.78467,-1.4477692,-0.55626965,,,,,
2023-01-02 06:00:00,,,294.87988,-1.3330545,-0.30247402,,,,,
2023-01-02 07:00:00,0.0,0.0,291.96167,-1.8782463,0.16754913,,,,,
2023-01-02 08:00:00,117.18877,114.70175,294.07886,-2.048932,0.41884422,,,,,
2023-01-02 09:00:00,328.47104,318.28757,296.40723,-1.9130201,-0.2079544,,,,,
2023-01-02 10:00:00,528.931,462.89966,298.0276,-1.8447866,-0.8280029,,,,,
2023-01-02 11:00:00,683.0492,566.4598,299.43994,-1.7597637,-0.90060043,,,,,
2023-01-02 12:00:00,773.3997,571.2501,300.33447,-1.8169174,-1.0321655,,,,,
2023-01-02 13:00:00,792.4086,678.80695,301.53467,-1.966445,-1.2937784,,,,,
2023-01-02 14:00:00,738.3908,648.06555,302.1184,-2.175705,-1.526372,,,,,
2023-01-02 15:00:00,617.60443,574.5108,302.44556,-2.3394775,-1.7925158,,,,,
2023-01-02 16:00:00,443.27972,427.1275,302.7146,-2.1376991,-2.3674393,,,,,
2023-01-02 17:00:00,239.3661,225.72278,301.94946,-2.1788387,-2.5214338,,,,,
2023-01-02 18:00:00,55.023888,47.66,300.8164,-2.2427626,-1.7455273,,,,,
2023-01-02 19:00:00,0.0,0.0,299.0437,-2.2608404,-1.4464474,,,,,
